InvoiceID,Branch,City,CustomerType,Gender,ProductLine,UnitPrice,Quantity,Tax5%,Total,Date,Time,TimeOfDay,Hour,Payment,Cogs,GrossMargin Percentage,GrossIncome,Rating,MonthName,Month,Day,Year
750-67-8428,A,Yangon,Member,Female,Health and beauty,74.69,7,26.14,548.97,5/1/2019,1:08:00 pm,Afternoon,13,Ewallet,522.83,4.76,26.14,9.1,January,1,5,2019
226-31-3081,C,Naypyitaw,Normal,Female,Electronic accessories,15.28,5,3.82,80.22,8/3/2019,10:29:00 am,Morning,10,Cash,76.4,4.76,3.82,9.6,March,3,8,2019
631-41-3108,A,Yangon,Normal,Male,Home and lifestyle,46.33,7,16.22,340.53,3/3/2019,1:23:00 pm,Afternoon,13,Credit card,324.31,4.76,16.22,7.4,March,3,3,2019
123-19-1176,A,Yangon,Member,Male,Health and beauty,58.22,8,23.29,489.05,27/1/2019,8:33:00 pm,Evening,20,Ewallet,465.76,4.76,23.29,8.4,January,1,27,2019
373-73-7910,A,Yangon,Normal,Male,Sports and travel,86.31,7,30.21,634.38,8/2/2019,10:37:00 am,Morning,10,Ewallet,604.17,4.76,30.21,5.3,February,2,8,2019
699-14-3026,C,Naypyitaw,Normal,Male,Electronic accessories,85.39,7,29.89,627.62,25/3/2019,6:30:00 pm,Evening,18,Ewallet,597.73,4.76,29.89,4.1,March,3,25,2019
355-53-5943,A,Yangon,Member,Female,Electronic accessories,68.84,6,20.65,433.69,25/2/2019,2:36:00 pm,Afternoon,14,Ewallet,413.04,4.76,20.65,5.8,February,2,25,2019
315-22-5665,C,Naypyitaw,Normal,Female,Home and lifestyle,73.56,10,36.78,772.38,24/2/2019,11:38:00 am,Morning,11,Ewallet,735.6,4.76,36.78,8,February,2,24,2019
665-32-9167,A,Yangon,Member,Female,Health and beauty,36.26,2,3.63,76.15,10/1/2019,5:15:00 pm,Evening,17,Credit card,72.52,4.76,3.63,7.2,January,1,10,2019
692-92-5582,B,Mandalay,Member,Female,Food and beverages,54.84,3,8.23,172.75,20/2/2019,1:27:00 pm,Afternoon,13,Credit card,164.52,4.76,8.23,5.9,February,2,20,2019
351-62-0822,B,Mandalay,Member,Female,Fashion accessories,14.48,4,2.9,60.82,6/2/2019,6:07:00 pm,Evening,18,Ewallet,57.92,4.76,2.9,4.5,February,2,6,2019
529-56-3974,B,Mandalay,Member,Male,Electronic accessories,25.51,4,5.1,107.14,9/3/2019,5:03:00 pm,Evening,17,Cash,102.04,4.76,5.1,6.8,March,3,9,2019
365-64-0515,A,Yangon,Normal,Female,Electronic accessories,46.95,5,11.74,246.49,12/2/2019,10:25:00 am,Morning,10,Ewallet,234.75,4.76,11.74,7.1,February,2,12,2019
252-56-2699,A,Yangon,Normal,Male,Food and beverages,43.19,10,21.6,453.5,7/2/2019,4:48:00 pm,Afternoon,16,Ewallet,431.9,4.76,21.6,8.2,February,2,7,2019
829-34-3910,A,Yangon,Normal,Female,Health and beauty,71.38,10,35.69,749.49,29/3/2019,7:21:00 pm,Evening,19,Cash,713.8,4.76,35.69,5.7,March,3,29,2019
299-46-1805,B,Mandalay,Member,Female,Sports and travel,93.72,6,28.12,590.44,15/1/2019,4:19:00 pm,Afternoon,16,Cash,562.32,4.76,28.12,4.5,January,1,15,2019
656-95-9349,A,Yangon,Member,Female,Health and beauty,68.93,7,24.13,506.64,11/3/2019,11:03:00 am,Morning,11,Credit card,482.51,4.76,24.13,4.6,March,3,11,2019
765-26-6951,A,Yangon,Normal,Male,Sports and travel,72.61,6,21.78,457.44,1/1/2019,10:39:00 am,Morning,10,Credit card,435.66,4.76,21.78,6.9,January,1,1,2019
329-62-1586,A,Yangon,Normal,Male,Food and beverages,54.67,3,8.2,172.21,21/1/2019,6:00:00 pm,Evening,18,Credit card,164.01,4.76,8.2,8.6,January,1,21,2019
319-50-3348,B,Mandalay,Normal,Female,Home and lifestyle,40.3,2,4.03,84.63,11/3/2019,3:30:00 pm,Afternoon,15,Ewallet,80.6,4.76,4.03,4.4,March,3,11,2019
